incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision
436;2015-02-01 09:30:00;12;38;58;Nízke Tatry: Chopok - nad Školským žlabom;1924;48.94697;19.59056;30;2;3;0;0;1;1;yes;true;1
462;2015-03-01 12:00:00;1;1;173;Unbenannte Scharte;2360;47.17023;11.60685;35;8;3;0;0;1;1;yes;true;1
9005;2015-04-09 00:00:00;1;1;172;Zischgeles;;47.115390999999;11.005391;;;;;0;;;none;true;1
367;2014-12-12 11:22:00;1;1;178;Eiskögele;3100;46.82508;11.02312;40;1;;0;0;1;1;yes;true;1
380;2015-01-06 13:09:00;1;1;174;Roßkopf;2350;47.2251;11.75525;40;1;3;0;0;0;0;yes;true;1
381;2015-01-06 10:45:00;1;1;173;Pfannköpfl;2200;47.10191;11.65294;40;1;3;0;0;0;0;yes;true;1
363;2015-01-18 12:58:00;1;1;174;Metzen;2200;47.25046;11.74933;45;3;3;0;0;0;0;yes;true;1
411;2014-12-20 11:15:00;1;1;177;Hinterer Brunnenkogel;3140;46.91263;10.8615;;;2;1;0;0;1;yes;true;1
358;2015-01-02 13:00:00;1;1;183;Goldried Kessel;2500;46.98757;12.60017;35;7;3;0;0;2;2;yes;true;1
362;2014-11-08 11:00:00;1;1;177;Pitztaler Jöchl;2980;46.9221;10.9229;40;3;;2;0;3;5;yes;true;1
360;2014-12-22 11:00:00;1;1;172;Zwieselbacher Roßkogel;2800;47.16293;11.05496;30;5;3;0;0;2;2;yes;true;1
361;2014-12-28 12:00:00;1;7;253;Großer Pyhrgas;1900;47.64862;14.3912;40;5;2;2;1;0;3;yes;true;1
392;2015-01-18 13:20:00;1;5;147;Kerschkern, Hühnerkar;1980;47.39103;14.61406;37;2;1;0;0;2;2;yes;true;1
403;2015-01-01 11:00:00;1;1;160;Wankspitze;2180;47.33882;10.93986;45;2;3;0;0;3;3;yes;true;1
404;2015-01-01 15:00:00;1;1;178;Festkogel;2600;46.8407;11.05166;35;5;3;0;0;1;1;yes;true;1
365;2014-12-12 11:19:00;1;1;177;Wildspitze;3400;46.88929;10.86797;25;1;;0;0;2;2;yes;true;1
366;2014-12-06 13:30:00;1;1;178;Festkogel;2900;46.8556;11.0508;45;1;;1;0;2;3;yes;true;1
368;2014-11-07 14:00:00;1;1;177;Seiterjöchl;3100;46.9298;10.9385;40;3;;0;0;2;2;yes;true;1
369;2014-12-21 13:31:00;1;1;177;Linker Fernerkogel;3150;46.92184;10.91428;35;2;3;1;0;3;4;yes;true;1
370;2015-01-05 10:30:00;1;1;179;Daunferner;3100;46.98435;11.10591;38;4;3;0;0;3;3;yes;true;1
371;2015-01-06 12:20:00;1;5;141;Tauplitz, Kriemandl;1850;47.5978;13.9683;47;5;3;0;0;2;2;yes;true;1
372;2015-01-01 10:40:00;1;2;84;Zamangspitze/St. Gallenkirch;2250;47.05281;9.97435;38;2;3;1;0;2;3;yes;true;1
373;2015-01-05 13:00:00;1;2;85;Gandatal/Madrisajoch;2600;46.93555;9.87728;42;3;3;0;1;0;1;yes;true;1
419;2015-01-28 15:00:00;1;5;141;Tauplitz/Lawinenstein;1800;47.6022;13.9565;48;1;3;1;1;1;3;yes;true;1
374;2015-01-06 12:00:00;1;8;123;Lahnberg, Lahngraben Nord;1500;47.78121;15.62248;42;2;3;0;0;2;2;yes;true;1
375;2014-12-20 11:07:00;1;1;166;Hinterer Grieskogel;2600;47.23571;11.00131;40;1;2;1;0;2;3;yes;true;1
377;2015-01-18 11:11:00;1;1;175;Hohe Salve;1750;47.465;12.20689;;;2;0;0;1;1;yes;true;1
378;2015-01-12 12:16:00;1;1;170;Obere Scheid;2150;47.0355;10.52583;35;2;3;0;0;2;2;yes;true;1
400;2015-01-01 11:34:00;1;1;172;Seblasspitze;2160;47.1025;11.24945;40;2;3;0;0;1;1;yes;true;1
379;2015-01-20 16:00:00;1;1;171;Tscheyegg;2400;46.88718;10.56632;30;7;3;1;0;5;6;yes;true;1
382;2015-01-05 12:56:00;1;1;178;Königstal;2200;46.88589;11.04844;40;8;3;0;0;0;0;yes;true;1
383;2015-01-05 12:43:00;1;1;177;Hinterer Brunnenkogel/Mittelbergjoch;3120;46.91093;10.86647;;;3;0;0;0;0;yes;true;1
385;2015-01-06 12:29:00;1;1;174;Metzen;2200;47.25139;11.7495;45;3;3;0;0;0;0;yes;true;1
386;2015-01-02 11:25:00;1;1;178;Hohe Mut;2080;46.84804;11.0202;35;7;2;0;0;2;2;yes;true;1
412;2014-12-23 12:10:00;1;1;166;Vorderer Grieskogel;2550;47.22685;11.00526;40;2;2;0;0;1;1;yes;true;1
387;2015-01-02 13:30:00;1;1;172;Hochtennspitze;2500;47.17128;11.29211;40;1;3;0;0;3;3;yes;true;1
388;2015-01-02 10:21:00;1;1;178;Kleines Königstal;2500;46.87979;11.0668;35;7;3;0;0;0;0;yes;true;1
389;2015-01-02 13:12:00;1;1;159;Kelmerkar;2200;47.35074;10.6931;35;8;3;2;0;1;3;yes;true;1
390;2015-01-02 14:57:00;1;1;184;Deferegger Pfannhorn;2300;46.8975;12.25449;35;2;3;0;0;1;1;yes;true;1
391;2015-01-20 12:08:00;1;1;173;Hobarjoch;2500;47.20565;11.70364;40;2;3;0;0;0;0;none;true;1
434;2015-02-01 10:42:00;1;1;175;Kleiner Galtenberg;2220;47.33044;11.97541;35;4;3;1;0;0;1;yes;true;1
396;2015-01-01 15:00:00;1;1;177;Giggijoch;2900;46.96889;10.95127;40;3;3;0;0;0;0;yes;true;1
