incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision;region_name;involved_id;___id;___s
7049;1999-12-28 00:00:00;1;1;177;Praschlehnbachlawine, L 16 (St.Leonharder Landesstraße) - Mittelberg;2600;46.930063;10.985063;50;6;;0;0;;;none;true;1;Tirol;0;T000002R000308;true
7050;1999-12-30 00:00:00;1;1;177;Gaislacherkogel, Sölden - Rettenbachtal;;46.930064;10.985064;;2;;0;0;;;yes;true;1;Tirol;0;T000002R000309;true
7051;1999-12-30 00:00:00;1;1;177;Grubengrat, Skigebiet Riffelsee - Riffelseehütte;2480;46.930065;10.985065;40;3;;0;0;;;yes;true;1;Tirol;0;T000002R000310;true
7052;1999-12-30 00:00:00;1;1;177;Rotkogeljochhütte, Skigebiet Sölden - Rettenbachtal;2300;46.930066;10.985066;42;4;;0;0;;;yes;true;1;Tirol;0;T000002R000311;true
7053;2000-01-02 00:00:00;1;1;172;Aifner Spitze - Hohe Aifner Spitze;2500;47.115042;11.005042;45;5;;0;0;;;yes;true;1;Tirol;0;T000002R000312;true
7054;2000-01-22 00:00:00;1;1;165;Kapall - Schöngraben - Weißschrofenspitze;1600;47.270036;10.535036;35;3;3;1;0;;;yes;true;1;Tirol;2001;T000002R000313;true
7055;2000-01-23 00:00:00;1;1;175;Hartkaser - Skigebiet Ellmau - Gasthof Jägerhütte;1460;47.390017;12.240017;38;2;3;2;0;;;yes;true;1;Tirol;2002;T000002R000314;true
7056;2000-01-23 00:00:00;1;1;165;Kapall - Schöngraben - Skigebiet St. Anton am Alrberg - Weißschrofenspitze;1900;47.270037;10.535037;;2;;0;0;;;yes;true;1;Tirol;0;T000002R000315;true
7057;2000-01-24 00:00:00;1;1;165;Rossfallalpe - Skigebiet St. Anton a.A. - Tritschalpe;2100;47.270038;10.535038;35;7;4;1;0;;;yes;true;1;Tirol;2001;T000002R000316;true
7058;2000-01-26 00:00:00;1;1;167;Wildebene - Verwall - Verwallalpe;2550;47.096204;10.181004;40;4;3;0;1;;;yes;true;1;Tirol;30001;T000002R000317;true
7059;2000-01-27 00:00:00;1;1;175;Klobenstein - B 176 (Kössener Bundesstraße) - Klausen;;47.390018;12.240018;;;;0;0;;;none;true;1;Tirol;0;T000002R000318;true
