"Lawinencode","TEZCode","meanExpo","stdDevExpo","MinExpo","MaxExpo","meanSlope","stdDevSlope","MinSlope","MaxSlope","Altitude","hozCurvature","verCuvature","totCurvature","MaxRad1","MaxRad15","MaxRad29","MaxRad43","MaxRad57","MaxRad71","MaxRad85","MaxRad99","MaxRad113","MaxRad127","MaxRad310","MaxRad324","MaxRad338","MaxRad352","MaxSun1","MaxSun15","MaxSun29","MaxSun43","MaxSun57","MaxSun71","MaxSun85","MaxSun99","MaxSun113","MaxSun127","MaxSun310","MaxSun324","MaxSun338","MaxSun352","HorÜb1","HorÜb2"
70903111,70903111114,57.87668707661587,,,,35.588,5.771,20.1646,69.0401,2463.0991,,,,424.172,427.1042,902.5852,1502.5715,2131.0183,3414.667,4622.6953,5562.9609,6968.291,7923.0464,1206.0046,610.9569,514.0199,294.7224,0.7936,0.7761,1.6092,2.5945,3.5917,5.5275,7.0018,7.7523,9.0945,9.722,2.1073,1.1092,0.9385,0.5725,,
70903111,70903111115,64.28102752266115,,,,35.9486,6.0294,19.3203,61.1227,2497.4412,,,,987.1158,941.7291,1616.4658,2240.3159,2773.5886,3970.2808,5047.5786,6013.3931,7476.4731,8231.9316,1929.6461,1202.2008,1104.4874,765.2559,2.7839,2.4449,3.8164,4.6582,5.2203,6.5918,7.4915,8.388400000000001,9.457599999999999,10.0678,4.3051,3.0325,2.9788,2.2006,,
70903111,70903111116,108.5097474482009,,,,34.1686,4.0051,21.7416,50.17,2361.4563,,,,1746.9994,2453.4768,3763.8188,4887.7871,5588.4556,6923.2134,7844.7007,8294.9004,9010.481400000001,10093.1377,4435.1138,3051.3408,2092.6841,1836.6509,2.2352,3.0752,4.5467,5.7103,6.4182,7.6473,8.4848,8.699400000000001,9.4436,10.6352,5.3188,3.8061,2.7018,2.4145,,
70903111,70903111117,21.99223377575541,,,,32.2583,3.5031,16.5213,41.4328,2373.6421,,,,153.8522,213.0988,321.7248,460.957,894.0933,1840.2936,3004.001,4095.1443,5363.6177,6819.3896,398.3725,259.8763,166.9256,156.4161,0.3798,0.5266999999999999,0.8516,1.4763,4.0267,6.6632,8.2478,8.9095,9.8843,10.9688,1.0786,0.6721,0.4288,0.4036,,
70903111,70903111118,356.9396107730427,,,,35.982,7.1748,23.3026,68.1469,2359.0559,,,,0,0,1.0539,4.4311,91.3947,599.1097,1515.8749,2522.0173,3920.5962,5193.6108,3.0157,0,0,0,0,0,0.0147,0.0391,0.5941,2.8778,5.2836,6.5306,8.254300000000001,9.559900000000001,0.0293,0,0,0,,
70903111,70903111119,30.65216191181372,,,,41.229,6.668,27.62,66.9572,2332.4539,,,,0,0,23.2363,106.8579,264.6477,944.6921,2042.4375,3055.3857,4224.1646,5763.5913,54.2824,2.2322,0,0,0,0,0.0712,0.2776,0.7651,2.3594,4.6904,6.242,7.5943,9.014200000000001,0.1673,0.0107,0,0,,
70903109,70903109120,46.20147179835439,,,,42.1488,5.3526,29.8765,52.1828,2125.3738,,,,118.2712,224.0804,351.1685,692.2598,1529.915,1979.7649,2881.8054,4256.3335,5209.1597,5823.7681,524.9895,360.5195,160.8135,117.8516,0.2372,0.4232,0.6873,1.5364,3.6092,4.4205,5.8949,7.5256,8.282999999999999,8.6092,1.0809,0.6873,0.3181,0.2372,,
70903109,70903109121,41.53981677101353,,,,37.3201,3.8033,27.8249,55.4208,2208.9812,,,,208.4238,329.6732,452.4881,802.4186,1555.4373,2273.2478,3012.9001,4350.6538,5424.3125,6176.0317,664.1563,462.2939,254.3372,214.0573,1.3932,1.9126,2.199,3.1044,4.6117,5.7403,6.5243,7.9078,8.847099999999999,9.1942,2.7888,2.3034,1.5777,1.4539,,
70903107,70903107122,85.97132352246432,,,,37.5718,7.4915,26.0959,62.4789,2720.4595,,,,1380.9047,1966.7446,2199.8467,3179.2012,4531.9536,5162.7754,6212.167,7754.0708,8618.9229,9011.156300000001,2722.9485,2377.698,1540.5723,1492.2041,2.1095,2.903,3.01,4.0945,5.4527,5.8955,6.7065,8.2363,8.8706,8.965199999999999,3.5697,3.3706,2.2836,2.2935,,
70903107,70903107123,54.97396426310033,,,,37.4468,8.1655,22.3775,72.13290000000001,2768.4739,,,,505.1649,736.356,899.5025000000001,1498.3939,2471.4211,3055.2549,4064.6191,5621.4727,6643.9277,7344.5273,1114.6595,975.5489,569.4265,502.2482,1.6365,2.1273,2.2469,3.2729,4.5815,4.9142,5.7898,7.3877,8.0829,8.5313,2.5352,2.6673,1.7493,1.6461,,
70903107,70903107124,47.95497048039957,,,,38.9356,6.4639,24.4223,63.6775,2740.3555,,,,248.0528,415.7819,529.7190000000001,1004.9481,1954.3269,2547.7529,3683.6753,5068.5425,6086.542,6803.3989,814.7495,654.9203,336.5618,246.8422,0.6125,1.1013,1.2675,2.1463,3.7113,4.3513,5.895,7.202500000000001,7.905,8.362500000000001,1.8338,1.64,0.8375,0.61,,
70903107,70903107125,31.03062902548459,,,,49.246,4.4679,40.775,67.8327,2848.4368,,,,0,0,0,69.4759,453.2215,662.1729,1841.0049,2629.6296,3893.8794,5416.875,10.8473,0.8008999999999999,0,0,0,0,0,0.289,1.3654,1.5216,3.4319,4.3821,6.4618,8.401999999999999,0.0332,0.0033,0,0,,
70903107,70903107126,47.87142907574599,,,,36.3982,5.8145,24.6718,63.8068,2744.6211,,,,67.47750000000001,156.8371,298.3848,685.5009,1508.6497,2167.7649,3570.616,5088.6865,6267.5234,7057.0576,475.1352,294.8854,98.80880000000001,72.8138,0.16,0.4701,0.7258,1.5038,2.9521,3.6061,5.3656,7.1132,8.204000000000001,8.7715,1.0696,0.7791,0.272,0.1812,,
70903107,70903107127,61.02394684084416,,,,33.3615,3.759,22.9657,48.2083,2771.052,,,,0,0,4.5668,204.2875,1091.5425,2349.9883,5343.5659,6278.4087,7513.9702,8080.7432,92.81870000000001,0,0,0,0,0,0.006,0.3452,1.6042,3.244,7.5179,7.8661,9,9,0.1339,0,0,0,,
70903107,70903107128,1.929030764673996,,,,39.2201,7.5342,17.2388,75.889,2777.1265,,,,3.1129,8.6069,12.6541,31.2129,70.8746,145.2242,744.9071,1854.8521,3221.7231,4341.8813,24.1028,12.7708,5.4224,3.3463,0.0086,0.0252,0.0346,0.0888,0.2068,0.5346,2.8553,5.305,7.4615,8.482699999999999,0.0684,0.0369,0.0149,0.011,,
70903107,70903107129,3.682735807128267,,,,42.8313,3.8946,34.5743,56.0974,2928.5889,,,,0,0,0,0,0,0,0,203.6448,916.1967,2077.9834,0,0,0,0,0,0,0,0,0,0,0,0.9463,2.6941,4.6082,0,0,0,0,,
70903107,70903107130,16.04877437715371,,,,34.6109,4.5966,21.3493,59.5509,2889.0771,,,,0,0,0,0,0,0,328.1573,1642.5803,3283.1558,4723.8804,0,0,0,0,0,0,0,0,0,0,0.967,3.8936,6.2436,7.7638,0,0,0,0,,
70903107,70903107131,37.90560728132073,,,,35.1113,4.7695,18.9983,52.5593,2601.2124,,,,31.8206,178.2401,311.063,727.3569,1474.166,2369.3032,3469.854,4957.2563,6155.8657,6949.6543,522.4666999999999,316.6678,101.3838,26.3676,0.2683,1.0765,1.4151,2.8197,4.6499,6.0367,7.5577,8.8857,9.844900000000001,9.9308,2.1572,1.6551,0.7504999999999999,0.2055,,
70903107,70903107132,131.9867640562391,,,,39.2848,9.597,12.2633,70.90470000000001,2593.6721,,,,3590.9326,4616.416,5140.6714,6089.4155,7613.5615,8063.6592,8830.6191,9714.8408,10056.6377,10224.9961,5744.7339,4865.5518,3984.5967,3762.9221,3.6629,4.7119,5.0998,5.9379,7.6026,7.8682,8.7119,9.8569,10.3051,10.629,5.6554,4.887,4.0282,3.8776,,
70903107,70903107133,63.67549073288399,,,,30.638,3.3632,19.3617,38.876,2321.9104,,,,743.3257,1094.7198,1634.2205,2202.426,3076.6604,4316.3774,5440.4214,6185.7017,7167.5376,8612.012699999999,2086.7664,1344.3787,891.7397999999999,755.0912,2.1038,2.9756,3.8931,4.8,5.7649,7.229,8.645799999999999,8.8626,9.4519,10.8489,4.484,3.3023,2.3786,2.1618,,
70903107,70903107134,54.36386311451174,,,,31.8994,3.2473,21.0217,38.0512,2335.6829,,,,561.287,794.5372,1299.1052,1897.9867,2515.9878,3710.449,4801.0278,5594.165,6623.1895,8165.8789,1629.6342,985.9198,628.1583000000001,567.205,2.5414,3.3414,4.4276,5.4621,5.9759,7.431,8.2448,8.7034,9.1724,10.5655,4.8862,3.5828,2.6379,2.5828,,
70903107,70903107135,95.38214028536781,,,,33.0074,3.3083,23.7061,38.9501,2368.2075,,,,1036.6802,1620.4264,2795.7444,3971.6387,4839.5044,6109.5732,7304.8896,7823.4038,8544.0977,9819.713900000001,3331.5063,2092.3013,1270.2289,1005.1115,1.4468,2.234,3.7106,5.0894,5.9574,7,8.923400000000001,9.034000000000001,9.4255,10.9064,4.2255,2.7872,1.7362,1.3957,,
70903107,70903107136,92.27954803643711,,,,31.4184,3.6489,21.3298,36.9819,2307.3877,,,,458.5602,822.8277,1485.7799,2577.7517,4488.6523,6084.8354,7160.9033,7708.8203,8492.4951,9743.838900000001,2490.3074,1174.5908,594.3105,448.5995,0.6442,1.1154,1.8846,3.1442,5.5192,7.5385,8.8462,9,9.7981,10.9423,3.0962,1.5288,0.8269,0.6346000000000001,,
70903107,70903107137,18.11899983637929,,,,33.0201,3.5252,19.9839,45.3512,2370.7488,,,,16.1855,31.8569,78.4015,187.5388,498.5491,1436.5575,2645.8191,3872.2085,5016.5396,6504.8096,129.1447,50.3815,22.1623,15.0019,0.1368,0.2432,0.4863,1.0122,2.3283,6.0729,8.182399999999999,9.100300000000001,9.665699999999999,10.8784,0.7477,0.3283,0.1702,0.1368,,
70903107,70903107138,17.70522492351841,,,,34.8209,3.6979,22.4406,46.2138,2315.9548,,,,1.4266,2.7972,8.0001,24.1684,223.5903,1123.6696,2275.332,3414.5366,4692.5356,6210.2246,13.3755,4.6194,1.9704,1.4167,0.0222,0.0333,0.0722,0.1833,1.0833,4.6389,7.2111,8.394399999999999,9.466699999999999,10.7556,0.1222,0.0444,0.0222,0.0222,,
70903107,70903107139,95.91475874824573,,,,34.609,4.2765,25.0793,44.3515,2356.4973,,,,1860.611,2503.4133,3518.6577,4444.0571,4908.8706,6387.874,7322.124,7787.5508,8522.397499999999,9764.895500000001,3802.2156,2782.4504,1949.3021,1894.3906,2.7238,3.6667,4.8095,5.8571,5.9714,7.9238,8.895200000000001,8.981,9.723800000000001,10.8667,4.9048,3.8381,2.7714,2.7714,,
70903107,70903107140,101.8676906541997,,,,31.8836,3.5899,23.4472,40.0895,2304.7922,,,,1939.3547,2569.1248,3076.8589,3788.2539,5118.4404,6569.0322,7640.584,8141.7813,8875.0283,10076.0439,3901.6729,2839.7141,2049.3113,1968.3876,2.6596,3.4894,3.9574,4.7021,5.9149,7.5106,8.766,8.9787,9.7447,10.9574,4.7872,3.6809,2.7447,2.7021,,
70903105,70903105141,60.74538122685742,,,,41.6605,8.2028,20.3954,65.6648,2571.9243,,,,0,42.6009,668.7986,1482.8661,2199.1096,3304.6206,4309.6665,5824.4219,6813.3198,7412.1875,1153.8365,253.792,16.7409,0,0,0.0815,1.0944,2.6438,3.4549,4.824,5.7725,7.206,8.073,8.5236,2.0644,0.3948,0.0172,0,,
