"ID","LawID","x","y"
1,50606038001,406299,230794
2,50606038001,406336,230779
3,50606038001,406333,230801
4,50606038001,406360,230791
5,50606038001,406383,230755
6,50606038001,406395,230741
7,50606038001,406403,230712
8,50606038001,406426,230682
9,50606038001,406436,230661
10,50606038001,406411,230631
11,50606038001,406385,230637
12,50606038001,406367,230654
13,50606038001,406352,230668
14,50606038001,406330,230678
15,50606038001,406326,230717
16,50606038001,406310,230734
17,50606038001,406296,230745
18,50606038001,406288,230761
19,50606038001,406287,230787
20,50606038001,406287,230797
21,50606038001,406296,230794
22,50606038001,406299,230794
23,50606038002,406309,230655
24,50606038002,406317,230643
25,50606038002,406334,230661
26,50606038002,406342,230657
27,50606038002,406334,230639
28,50606038002,406342,230634
29,50606038002,406359,230636
30,50606038002,406371,230620
31,50606038002,406374,230573
32,50606038002,406366,230546
33,50606038002,406358,230514
34,50606038002,406336,230507
35,50606038002,406318,230491
36,50606038002,406295,230497
37,50606038002,406296,230540
38,50606038002,406308,230556
39,50606038002,406305,230579
40,50606038002,406292,230625
41,50606038002,406309,230655
42,50606038003,406440,230649
43,50606038003,406453,230630
44,50606038003,406439,230598
45,50606038003,406439,230575
46,50606038003,406434,230560
47,50606038003,406418,230571
48,50606038003,406400,230593
49,50606038003,406390,230593
50,50606038003,406381,230618
51,50606038003,406369,230638
52,50606038003,406410,230628
53,50606038003,406422,230633
54,50606038003,406432,230632
55,50606038003,406440,230649
56,50606038004,406287,230787
57,50606038004,406258,230808
58,50606038004,406223,230845
59,50606038004,406200,230840
60,50606038004,406182,230833
61,50606038004,406188,230853
62,50606038004,406172,230884
63,50606038004,406164,230901
64,50606038004,406208,230933
65,50606038004,406219,230918
66,50606038004,406232,230903
67,50606038004,406248,230876
68,50606038004,406271,230857
69,50606038004,406281,230845
70,50606038004,406294,230831
71,50606038004,406296,230794
72,50606038004,406287,230797
73,50606038004,406287,230787
74,50606038005,406355,230829
75,50606038005,406316,230832
76,50606038005,406287,230853
77,50606038005,406258,230880
78,50606038005,406240,230905
79,50606038005,406203,230948
80,50606038005,406176,230960
81,50606038005,406195,230970
82,50606038005,406244,230966
83,50606038005,406269,230958
84,50606038005,406310,230940
85,50606038005,406346,230905
86,50606038005,406367,230874
87,50606038005,406392,230853
88,50606038005,406418,230854
89,50606038005,406421,230868
90,50606038005,406437,230873
91,50606038005,406442,230865
