,DATUM,ZEIT,Lawinen_Art,GRNR,Volumen,Wetter,WIND_RCHTG,WIND_GSCHW,Temperatur,Schneehoehe,Neuschnee,Gefahr,Bemerkung,ID,Bereich_KAPRUN,Gebiet,Code_neu,Lawinenstrich,Text,xoff,yoff,Scale,ScaleW,ScaleH,OffX,OffY,Lawinencode,TEZCode,meanExpo,stdDevExpo,MinExpo,MaxExpo,meanSlope,stdDevSlope,MinSlope,MaxSlope,Altitude,hozCurvature,verCuvature,totCurvature,MaxRad1,MaxRad15,MaxRad29,MaxRad43,MaxRad57,MaxRad71,MaxRad85,MaxRad99,MaxRad113,MaxRad127,MaxRad310,MaxRad324,MaxRad338,MaxRad352,MaxSun1,MaxSun15,MaxSun29,MaxSun43,MaxSun57,MaxSun71,MaxSun85,MaxSun99,MaxSun113,MaxSun127,MaxSun310,MaxSun324,MaxSun338,MaxSun352,HorÜb1,HorÜb2
20,1998-03-16 00:00:00,,Staublawine,19.0,gross,,,,,,,,in den Speicher -Eisdecke zerstört,19,Kaprun,Mooserboden,50606019,Hintere Bärrinnenlawine,Kammerkees,400462.2352307634,224226.49817001465,6.867792769617033,433,151,171,-44,50606019.0,50606019523.5,86.72131216113675,,,,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,,,,1023.4177875,1145.79165,1679.228325,2421.165125,3240.9665625,3893.428175,4985.1023875,6021.941725000001,6939.5512125000005,7884.006275,2124.4318125,1455.6302249999999,1113.868775,969.85055,1.9125750000000001,2.0910374999999997,2.9829749999999997,4.073,5.101675,5.7221,6.837375,7.7938625,8.5137625,9.359725,3.6874499999999997,2.6153500000000003,2.070075,1.7819125,,
21,1998-12-14 00:00:00,,Staublawine,19.0,,Schneefall mäßig,SE,3.0,-1.0,78.0,10.0,3.0,bis in den Speicher,19,Kaprun,Mooserboden,50606019,Hintere Bärrinnenlawine,Kammerkees,400462.2352307634,224226.49817001465,6.867792769617033,433,151,171,-44,50606019.0,50606019523.5,86.72131216113675,,,,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,,,,1023.4177875,1145.79165,1679.228325,2421.165125,3240.9665625,3893.428175,4985.1023875,6021.941725000001,6939.5512125000005,7884.006275,2124.4318125,1455.6302249999999,1113.868775,969.85055,1.9125750000000001,2.0910374999999997,2.9829749999999997,4.073,5.101675,5.7221,6.837375,7.7938625,8.5137625,9.359725,3.6874499999999997,2.6153500000000003,2.070075,1.7819125,,
22,1999-02-07 00:00:00,,Staublawine,19.0,gross,Schneefall mäßig,45,3.0,-11.0,147.0,15.0,3.0,bis zum gegenüberliegenden Speicherufer,19,Kaprun,Mooserboden,50606019,Hintere Bärrinnenlawine,Kammerkees,400462.2352307634,224226.49817001465,6.867792769617033,433,151,171,-44,50606019.0,50606019523.5,86.72131216113675,,,,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,,,,1023.4177875,1145.79165,1679.228325,2421.165125,3240.9665625,3893.428175,4985.1023875,6021.941725000001,6939.5512125000005,7884.006275,2124.4318125,1455.6302249999999,1113.868775,969.85055,1.9125750000000001,2.0910374999999997,2.9829749999999997,4.073,5.101675,5.7221,6.837375,7.7938625,8.5137625,9.359725,3.6874499999999997,2.6153500000000003,2.070075,1.7819125,,
23,1999-02-20 00:00:00,1899-12-30 20:25:00,Schneebrettlawine trocken,19.0,gross,Schneefall stark,180,5.0,-2.0,179.0,20.0,3.0,Pegelschwankung  am Speicherpegel,19,Kaprun,Mooserboden,50606019,Hintere Bärrinnenlawine,Kammerkees,400462.2352307634,224226.49817001465,6.867792769617033,433,151,171,-44,50606019.0,50606019523.5,86.72131216113675,,,,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,,,,1023.4177875,1145.79165,1679.228325,2421.165125,3240.9665625,3893.428175,4985.1023875,6021.941725000001,6939.5512125000005,7884.006275,2124.4318125,1455.6302249999999,1113.868775,969.85055,1.9125750000000001,2.0910374999999997,2.9829749999999997,4.073,5.101675,5.7221,6.837375,7.7938625,8.5137625,9.359725,3.6874499999999997,2.6153500000000003,2.070075,1.7819125,,
24,1999-02-22 00:00:00,,Schneebrettlawine trocken,19.0,gross,Schneefall mäßig,225,8.0,-3.0,217.0,30.0,4.0,,19,Kaprun,Mooserboden,50606019,Hintere Bärrinnenlawine,Kammerkees,400462.2352307634,224226.49817001465,6.867792769617033,433,151,171,-44,50606019.0,50606019523.5,86.72131216113675,,,,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,,,,1023.4177875,1145.79165,1679.228325,2421.165125,3240.9665625,3893.428175,4985.1023875,6021.941725000001,6939.5512125000005,7884.006275,2124.4318125,1455.6302249999999,1113.868775,969.85055,1.9125750000000001,2.0910374999999997,2.9829749999999997,4.073,5.101675,5.7221,6.837375,7.7938625,8.5137625,9.359725,3.6874499999999997,2.6153500000000003,2.070075,1.7819125,,
25,1999-03-14 00:00:00,,Schneebrettlawine naß,19.0,mittel,wolkenlos,180,3.0,,208.0,0.0,23.0,bis in den Speicher,19,Kaprun,Mooserboden,50606019,Hintere Bärrinnenlawine,Kammerkees,400462.2352307634,224226.49817001465,6.867792769617033,433,151,171,-44,50606019.0,50606019523.5,86.72131216113675,,,,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,,,,1023.4177875,1145.79165,1679.228325,2421.165125,3240.9665625,3893.428175,4985.1023875,6021.941725000001,6939.5512125000005,7884.006275,2124.4318125,1455.6302249999999,1113.868775,969.85055,1.9125750000000001,2.0910374999999997,2.9829749999999997,4.073,5.101675,5.7221,6.837375,7.7938625,8.5137625,9.359725,3.6874499999999997,2.6153500000000003,2.070075,1.7819125,,
26,1999-04-06 00:00:00,,Schneebrettlawine naß,19.0,klein,heiter,180,2.0,10.0,200.0,0.0,3.0,erreicht den Speicher nicht,19,Kaprun,Mooserboden,50606019,Hintere Bärrinnenlawine,Kammerkees,400462.2352307634,224226.49817001465,6.867792769617033,433,151,171,-44,50606019.0,50606019523.5,86.72131216113675,,,,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,,,,1023.4177875,1145.79165,1679.228325,2421.165125,3240.9665625,3893.428175,4985.1023875,6021.941725000001,6939.5512125000005,7884.006275,2124.4318125,1455.6302249999999,1113.868775,969.85055,1.9125750000000001,2.0910374999999997,2.9829749999999997,4.073,5.101675,5.7221,6.837375,7.7938625,8.5137625,9.359725,3.6874499999999997,2.6153500000000003,2.070075,1.7819125,,
27,1999-11-25 00:00:00,,Schneebrettlawine trocken,19.0,mittel,heiter,180,2.0,-4.0,68.0,3.0,3.0,bis in den Speicher,19,Kaprun,Mooserboden,50606019,Hintere Bärrinnenlawine,Kammerkees,400462.2352307634,224226.49817001465,6.867792769617033,433,151,171,-44,50606019.0,50606019523.5,86.72131216113675,,,,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,,,,1023.4177875,1145.79165,1679.228325,2421.165125,3240.9665625,3893.428175,4985.1023875,6021.941725000001,6939.5512125000005,7884.006275,2124.4318125,1455.6302249999999,1113.868775,969.85055,1.9125750000000001,2.0910374999999997,2.9829749999999997,4.073,5.101675,5.7221,6.837375,7.7938625,8.5137625,9.359725,3.6874499999999997,2.6153500000000003,2.070075,1.7819125,,
28,2000-01-19 00:00:00,1899-12-30 11:00:00,Schneebrettlawine trocken,19.0,mittel,Schneefall mäßig,45,5.0,-5.0,53.0,10.0,3.0,bis in den Speicher,19,Kaprun,Mooserboden,50606019,Hintere Bärrinnenlawine,Kammerkees,400462.2352307634,224226.49817001465,6.867792769617033,433,151,171,-44,50606019.0,50606019523.5,86.72131216113675,,,,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,,,,1023.4177875,1145.79165,1679.228325,2421.165125,3240.9665625,3893.428175,4985.1023875,6021.941725000001,6939.5512125000005,7884.006275,2124.4318125,1455.6302249999999,1113.868775,969.85055,1.9125750000000001,2.0910374999999997,2.9829749999999997,4.073,5.101675,5.7221,6.837375,7.7938625,8.5137625,9.359725,3.6874499999999997,2.6153500000000003,2.070075,1.7819125,,
29,2000-02-20 00:00:00,,Staublawine,19.0,mittel,Schneefall schwach,315,2.0,-9.0,213.0,32.0,4.0,bis in Speicher,19,Kaprun,Mooserboden,50606019,Hintere Bärrinnenlawine,Kammerkees,400462.2352307634,224226.49817001465,6.867792769617033,433,151,171,-44,50606019.0,50606019523.5,86.72131216113675,,,,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,,,,1023.4177875,1145.79165,1679.228325,2421.165125,3240.9665625,3893.428175,4985.1023875,6021.941725000001,6939.5512125000005,7884.006275,2124.4318125,1455.6302249999999,1113.868775,969.85055,1.9125750000000001,2.0910374999999997,2.9829749999999997,4.073,5.101675,5.7221,6.837375,7.7938625,8.5137625,9.359725,3.6874499999999997,2.6153500000000003,2.070075,1.7819125,,
