Stationsmessort:	Beobachter
Stationsname:	Beobachtung Mooserboden
Stationsnummer:	AT-5-LWD-103015-4
Lokale Koordinaten X:	403193,099709
Lokale Koordinaten Y:	225603,090275
MPH:	2070
Parametername:	WG mit Verfrachtung
Parametertyp:	WSpeed
Name des Parametertyps:	Windgeschwindigkeit
Name der Zeitreihe:	5644436/AT-5-LWD-103015-4/WGmitV/Cmd
Einheit der Zeitreihe:	Bft
Regionale Koordinaten X:	-46806,900291
Regionale Koordinaten Y:	225603,090275
Geografische Länge:	12,715257
Geografische Breite:	47,167737
Datum;Uhrzeit;Wert[Bft];Status des Werts
29.12.1998;07:00:00;---;Ungeprüft
29.12.1998;10:00:00;---;Ungeprüft
29.12.1998;16:00:00;---;Ungeprüft
29.12.1998;22:00:00;---;Ungeprüft
30.12.1998;07:00:00;---;Ungeprüft
30.12.1998;10:00:00;---;Ungeprüft
30.12.1998;16:00:00;---;Ungeprüft
30.12.1998;22:00:00;---;Ungeprüft
31.12.1998;07:00:00;---;Ungeprüft
31.12.1998;10:00:00;---;Ungeprüft
31.12.1998;16:00:00;---;Ungeprüft
31.12.1998;22:00:00;---;Ungeprüft
01.01.1999;07:00:00;---;Ungeprüft
01.01.1999;10:00:00;---;Ungeprüft
01.01.1999;16:00:00;---;Ungeprüft
01.01.1999;22:00:00;---;Ungeprüft
02.01.1999;07:00:00;---;Ungeprüft
02.01.1999;10:00:00;---;Ungeprüft
02.01.1999;16:00:00;---;Ungeprüft
02.01.1999;22:00:00;---;Ungeprüft
03.01.1999;07:00:00;1;Ungeprüft
03.01.1999;10:00:00;2;Ungeprüft
03.01.1999;16:00:00;2;Ungeprüft
03.01.1999;22:00:00;2;Ungeprüft
04.01.1999;07:00:00;---;Ungeprüft
04.01.1999;10:00:00;---;Ungeprüft
04.01.1999;16:00:00;---;Ungeprüft
04.01.1999;22:00:00;---;Ungeprüft
05.01.1999;07:00:00;---;Ungeprüft
05.01.1999;10:00:00;---;Ungeprüft
05.01.1999;16:00:00;---;Ungeprüft
05.01.1999;22:00:00;---;Ungeprüft
06.01.1999;07:00:00;---;Ungeprüft
06.01.1999;10:00:00;---;Ungeprüft
06.01.1999;16:00:00;---;Ungeprüft
06.01.1999;22:00:00;---;Ungeprüft
07.01.1999;07:00:00;---;Ungeprüft
07.01.1999;10:00:00;---;Ungeprüft
07.01.1999;16:00:00;---;Ungeprüft
07.01.1999;22:00:00;---;Ungeprüft
08.01.1999;07:00:00;---;Ungeprüft
08.01.1999;10:00:00;---;Ungeprüft
08.01.1999;16:00:00;---;Ungeprüft
08.01.1999;22:00:00;---;Ungeprüft
09.01.1999;07:00:00;---;Ungeprüft
09.01.1999;10:00:00;---;Ungeprüft
09.01.1999;16:00:00;---;Ungeprüft
09.01.1999;22:00:00;---;Ungeprüft
10.01.1999;07:00:00;0;Ungeprüft
10.01.1999;10:00:00;2;Ungeprüft
10.01.1999;16:00:00;2;Ungeprüft
10.01.1999;22:00:00;6;Ungeprüft
11.01.1999;07:00:00;---;Ungeprüft
11.01.1999;10:00:00;---;Ungeprüft
11.01.1999;16:00:00;---;Ungeprüft
11.01.1999;22:00:00;---;Ungeprüft
12.01.1999;07:00:00;---;Ungeprüft
12.01.1999;10:00:00;---;Ungeprüft
12.01.1999;16:00:00;---;Ungeprüft
12.01.1999;22:00:00;---;Ungeprüft
13.01.1999;07:00:00;---;Ungeprüft
13.01.1999;10:00:00;---;Ungeprüft
13.01.1999;16:00:00;---;Ungeprüft
13.01.1999;22:00:00;---;Ungeprüft
14.01.1999;07:00:00;---;Ungeprüft
14.01.1999;10:00:00;---;Ungeprüft
14.01.1999;16:00:00;---;Ungeprüft
14.01.1999;22:00:00;---;Ungeprüft
15.01.1999;07:00:00;---;Ungeprüft
15.01.1999;10:00:00;---;Ungeprüft
15.01.1999;16:00:00;---;Ungeprüft
15.01.1999;22:00:00;---;Ungeprüft
16.01.1999;07:00:00;---;255
16.01.1999;10:00:00;---;255
17.01.1999;07:00:00;---;255
17.01.1999;10:00:00;---;Ungeprüft
17.01.1999;16:00:00;---;Ungeprüft
17.01.1999;22:00:00;---;Ungeprüft
18.01.1999;07:00:00;---;Ungeprüft
18.01.1999;10:00:00;---;Ungeprüft
18.01.1999;16:00:00;---;Ungeprüft
18.01.1999;22:00:00;---;Ungeprüft
19.01.1999;07:00:00;---;Ungeprüft
19.01.1999;10:00:00;---;Ungeprüft
19.01.1999;16:00:00;---;Ungeprüft
19.01.1999;22:00:00;---;Ungeprüft
20.01.1999;07:00:00;---;Ungeprüft
20.01.1999;10:00:00;---;Ungeprüft
20.01.1999;16:00:00;---;Ungeprüft
20.01.1999;22:00:00;---;Ungeprüft
21.01.1999;07:00:00;---;Ungeprüft
21.01.1999;10:00:00;---;Ungeprüft
21.01.1999;16:00:00;---;Ungeprüft
21.01.1999;22:00:00;---;Ungeprüft
22.01.1999;07:00:00;---;Ungeprüft
22.01.1999;10:00:00;---;Ungeprüft
22.01.1999;16:00:00;---;Ungeprüft
22.01.1999;22:00:00;---;Ungeprüft
23.01.1999;07:00:00;---;Ungeprüft
23.01.1999;10:00:00;---;Ungeprüft
23.01.1999;16:00:00;---;Ungeprüft
23.01.1999;22:00:00;---;Ungeprüft
24.01.1999;07:00:00;---;Ungeprüft
24.01.1999;10:00:00;---;Ungeprüft
24.01.1999;16:00:00;---;Ungeprüft
24.01.1999;22:00:00;---;Ungeprüft
25.01.1999;07:00:00;---;Ungeprüft
25.01.1999;10:00:00;---;Ungeprüft
25.01.1999;16:00:00;---;Ungeprüft
25.01.1999;22:00:00;---;Ungeprüft
26.01.1999;07:00:00;1;Ungeprüft
26.01.1999;10:00:00;2;Ungeprüft
26.01.1999;16:00:00;2;Ungeprüft
26.01.1999;22:00:00;2;Ungeprüft
27.01.1999;07:00:00;4;Ungeprüft
27.01.1999;10:00:00;3;Ungeprüft
27.01.1999;16:00:00;3;Ungeprüft
27.01.1999;22:00:00;4;Ungeprüft
28.01.1999;07:00:00;5;Ungeprüft
28.01.1999;10:00:00;3;Ungeprüft
28.01.1999;16:00:00;3;Ungeprüft
28.01.1999;22:00:00;3;Ungeprüft
29.01.1999;07:00:00;3;Ungeprüft
29.01.1999;10:00:00;4;Ungeprüft
29.01.1999;16:00:00;4;Ungeprüft
29.01.1999;22:00:00;4;Ungeprüft
30.01.1999;07:00:00;4;Ungeprüft
30.01.1999;10:00:00;3;Ungeprüft
30.01.1999;16:00:00;3;Ungeprüft
30.01.1999;22:00:00;2;Ungeprüft
31.01.1999;07:00:00;---;Ungeprüft
31.01.1999;10:00:00;---;Ungeprüft
31.01.1999;16:00:00;---;Ungeprüft
31.01.1999;22:00:00;---;Ungeprüft
01.02.1999;07:00:00;---;Ungeprüft
01.02.1999;10:00:00;---;Ungeprüft
01.02.1999;16:00:00;---;Ungeprüft
01.02.1999;22:00:00;---;Ungeprüft
02.02.1999;07:00:00;---;Ungeprüft
02.02.1999;10:00:00;---;Ungeprüft
02.02.1999;16:00:00;---;Ungeprüft
02.02.1999;22:00:00;---;Ungeprüft
03.02.1999;07:00:00;5;Ungeprüft
03.02.1999;10:00:00;3;Ungeprüft
03.02.1999;16:00:00;3;Ungeprüft
03.02.1999;22:00:00;3;Ungeprüft
04.02.1999;07:00:00;3;Ungeprüft
04.02.1999;10:00:00;4;Ungeprüft
04.02.1999;16:00:00;5;Ungeprüft
04.02.1999;22:00:00;5;Ungeprüft
05.02.1999;07:00:00;2;Ungeprüft
05.02.1999;10:00:00;3;Ungeprüft
05.02.1999;16:00:00;3;Ungeprüft
05.02.1999;22:00:00;3;Ungeprüft
06.02.1999;07:00:00;3;Ungeprüft
06.02.1999;10:00:00;4;Ungeprüft
06.02.1999;16:00:00;3;Ungeprüft
06.02.1999;22:00:00;3;Ungeprüft
07.02.1999;07:00:00;2;Ungeprüft
07.02.1999;10:00:00;3;Ungeprüft
07.02.1999;16:00:00;2;Ungeprüft
07.02.1999;22:00:00;3;Ungeprüft
08.02.1999;07:00:00;---;Ungeprüft
08.02.1999;10:00:00;---;Ungeprüft
08.02.1999;16:00:00;---;Ungeprüft
08.02.1999;22:00:00;---;Ungeprüft
09.02.1999;07:00:00;---;Ungeprüft
09.02.1999;10:00:00;---;Ungeprüft
09.02.1999;16:00:00;---;Ungeprüft
09.02.1999;22:00:00;---;Ungeprüft
10.02.1999;07:00:00;---;Ungeprüft
10.02.1999;10:00:00;---;Ungeprüft
10.02.1999;16:00:00;---;Ungeprüft
10.02.1999;22:00:00;---;Ungeprüft
11.02.1999;07:00:00;---;Ungeprüft
11.02.1999;10:00:00;---;Ungeprüft
11.02.1999;16:00:00;---;Ungeprüft
11.02.1999;22:00:00;---;Ungeprüft
12.02.1999;07:00:00;---;Ungeprüft
12.02.1999;10:00:00;---;Ungeprüft
12.02.1999;16:00:00;---;Ungeprüft
12.02.1999;22:00:00;---;Ungeprüft
13.02.1999;07:00:00;---;Ungeprüft
13.02.1999;10:00:00;---;Ungeprüft
13.02.1999;16:00:00;---;Ungeprüft
13.02.1999;22:00:00;---;Ungeprüft
14.02.1999;07:00:00;---;Ungeprüft
14.02.1999;10:00:00;---;Ungeprüft
14.02.1999;16:00:00;---;Ungeprüft
14.02.1999;22:00:00;---;Ungeprüft
15.02.1999;07:00:00;---;Ungeprüft
15.02.1999;10:00:00;---;Ungeprüft
15.02.1999;16:00:00;---;Ungeprüft
15.02.1999;22:00:00;---;Ungeprüft
16.02.1999;07:00:00;---;Ungeprüft
16.02.1999;10:00:00;---;Ungeprüft
16.02.1999;16:00:00;---;Ungeprüft
16.02.1999;22:00:00;---;Ungeprüft
17.02.1999;07:00:00;5;Ungeprüft
17.02.1999;10:00:00;4;Ungeprüft
17.02.1999;16:00:00;4;Ungeprüft
17.02.1999;22:00:00;4;Ungeprüft
18.02.1999;07:00:00;5;Ungeprüft
18.02.1999;10:00:00;4;Ungeprüft
18.02.1999;16:00:00;4;Ungeprüft
18.02.1999;22:00:00;4;Ungeprüft
19.02.1999;07:00:00;5;Ungeprüft
19.02.1999;10:00:00;2;Ungeprüft
19.02.1999;16:00:00;3;Ungeprüft
19.02.1999;22:00:00;3;Ungeprüft
20.02.1999;07:00:00;---;Ungeprüft
20.02.1999;10:00:00;---;Ungeprüft
20.02.1999;16:00:00;---;Ungeprüft
20.02.1999;22:00:00;---;Ungeprüft
21.02.1999;07:00:00;1;Ungeprüft
21.02.1999;10:00:00;3;Ungeprüft
21.02.1999;16:00:00;2;Ungeprüft
21.02.1999;22:00:00;3;Ungeprüft
22.02.1999;07:00:00;---;Ungeprüft
22.02.1999;10:00:00;---;Ungeprüft
22.02.1999;16:00:00;---;Ungeprüft
22.02.1999;22:00:00;---;Ungeprüft
23.02.1999;07:00:00;5;Ungeprüft
23.02.1999;10:00:00;3;Ungeprüft
23.02.1999;16:00:00;3;Ungeprüft
23.02.1999;22:00:00;4;Ungeprüft
24.02.1999;07:00:00;---;Ungeprüft
24.02.1999;10:00:00;---;Ungeprüft
24.02.1999;16:00:00;---;Ungeprüft
24.02.1999;22:00:00;---;Ungeprüft
25.02.1999;07:00:00;---;Ungeprüft
25.02.1999;10:00:00;---;Ungeprüft
25.02.1999;16:00:00;---;Ungeprüft
25.02.1999;22:00:00;---;Ungeprüft
26.02.1999;07:00:00;---;Ungeprüft
26.02.1999;10:00:00;---;Ungeprüft
26.02.1999;16:00:00;---;Ungeprüft
26.02.1999;22:00:00;---;Ungeprüft
27.02.1999;07:00:00;---;Ungeprüft
27.02.1999;10:00:00;---;Ungeprüft
27.02.1999;16:00:00;---;Ungeprüft
27.02.1999;22:00:00;---;Ungeprüft
28.02.1999;07:00:00;---;Ungeprüft
28.02.1999;10:00:00;---;Ungeprüft
28.02.1999;16:00:00;---;Ungeprüft
28.02.1999;22:00:00;---;Ungeprüft
01.03.1999;07:00:00;---;Ungeprüft
01.03.1999;10:00:00;---;Ungeprüft
01.03.1999;16:00:00;---;Ungeprüft
01.03.1999;22:00:00;---;Ungeprüft
02.03.1999;07:00:00;---;Ungeprüft
02.03.1999;10:00:00;---;Ungeprüft
02.03.1999;16:00:00;---;Ungeprüft
02.03.1999;22:00:00;---;Ungeprüft
03.03.1999;07:00:00;---;Ungeprüft
03.03.1999;10:00:00;---;Ungeprüft
03.03.1999;16:00:00;---;Ungeprüft
03.03.1999;22:00:00;---;Ungeprüft
04.03.1999;07:00:00;9;Ungeprüft
04.03.1999;10:00:00;7;Ungeprüft
04.03.1999;16:00:00;8;Ungeprüft
04.03.1999;22:00:00;9;Ungeprüft
05.03.1999;07:00:00;---;Ungeprüft
05.03.1999;10:00:00;---;Ungeprüft
05.03.1999;16:00:00;---;Ungeprüft
05.03.1999;22:00:00;---;Ungeprüft
06.03.1999;07:00:00;1;Ungeprüft
06.03.1999;10:00:00;1;Ungeprüft
06.03.1999;16:00:00;2;Ungeprüft
06.03.1999;22:00:00;2;Ungeprüft
07.03.1999;07:00:00;---;Ungeprüft
07.03.1999;10:00:00;---;Ungeprüft
07.03.1999;16:00:00;---;Ungeprüft
07.03.1999;22:00:00;---;Ungeprüft
08.03.1999;07:00:00;---;Ungeprüft
08.03.1999;10:00:00;---;Ungeprüft
08.03.1999;16:00:00;---;Ungeprüft
08.03.1999;22:00:00;---;Ungeprüft
09.03.1999;07:00:00;---;Ungeprüft
09.03.1999;10:00:00;---;Ungeprüft
09.03.1999;16:00:00;---;Ungeprüft
09.03.1999;22:00:00;---;Ungeprüft
10.03.1999;07:00:00;---;Ungeprüft
10.03.1999;10:00:00;---;Ungeprüft
10.03.1999;16:00:00;---;Ungeprüft
10.03.1999;22:00:00;---;Ungeprüft
11.03.1999;07:00:00;---;Ungeprüft
11.03.1999;10:00:00;---;Ungeprüft
11.03.1999;16:00:00;---;Ungeprüft
11.03.1999;22:00:00;---;Ungeprüft
12.03.1999;07:00:00;---;Ungeprüft
12.03.1999;10:00:00;---;Ungeprüft
12.03.1999;16:00:00;---;Ungeprüft
12.03.1999;22:00:00;---;Ungeprüft
13.03.1999;07:00:00;---;Ungeprüft
13.03.1999;10:00:00;---;Ungeprüft
13.03.1999;16:00:00;---;Ungeprüft
13.03.1999;22:00:00;---;Ungeprüft
14.03.1999;07:00:00;---;Ungeprüft
14.03.1999;10:00:00;---;Ungeprüft
14.03.1999;16:00:00;---;Ungeprüft
14.03.1999;22:00:00;---;Ungeprüft
15.03.1999;07:00:00;---;Ungeprüft
15.03.1999;10:00:00;---;Ungeprüft
15.03.1999;16:00:00;---;Ungeprüft
15.03.1999;22:00:00;---;Ungeprüft
16.03.1999;07:00:00;---;Ungeprüft
16.03.1999;10:00:00;---;Ungeprüft
16.03.1999;16:00:00;---;Ungeprüft
16.03.1999;22:00:00;---;Ungeprüft
17.03.1999;07:00:00;---;Ungeprüft
17.03.1999;10:00:00;---;Ungeprüft
17.03.1999;16:00:00;---;Ungeprüft
17.03.1999;22:00:00;---;Ungeprüft
18.03.1999;07:00:00;---;Ungeprüft
18.03.1999;10:00:00;---;Ungeprüft
18.03.1999;16:00:00;---;Ungeprüft
18.03.1999;22:00:00;---;Ungeprüft
19.03.1999;07:00:00;---;Ungeprüft
19.03.1999;10:00:00;---;Ungeprüft
19.03.1999;16:00:00;---;Ungeprüft
19.03.1999;22:00:00;---;Ungeprüft
20.03.1999;07:00:00;---;Ungeprüft
20.03.1999;10:00:00;---;Ungeprüft
20.03.1999;16:00:00;---;Ungeprüft
20.03.1999;22:00:00;---;Ungeprüft
21.03.1999;07:00:00;---;Ungeprüft
21.03.1999;10:00:00;---;Ungeprüft
21.03.1999;16:00:00;---;Ungeprüft
21.03.1999;22:00:00;---;Ungeprüft
22.03.1999;07:00:00;---;Ungeprüft
22.03.1999;10:00:00;---;Ungeprüft
22.03.1999;16:00:00;---;Ungeprüft
22.03.1999;22:00:00;---;Ungeprüft
23.03.1999;07:00:00;---;Ungeprüft
23.03.1999;10:00:00;---;Ungeprüft
23.03.1999;16:00:00;---;Ungeprüft
23.03.1999;22:00:00;---;Ungeprüft
24.03.1999;07:00:00;---;Ungeprüft
24.03.1999;10:00:00;---;Ungeprüft
24.03.1999;16:00:00;---;Ungeprüft
24.03.1999;22:00:00;---;Ungeprüft
25.03.1999;07:00:00;---;Ungeprüft
25.03.1999;10:00:00;---;Ungeprüft
25.03.1999;16:00:00;---;Ungeprüft
25.03.1999;22:00:00;---;Ungeprüft
26.03.1999;07:00:00;---;255
26.03.1999;10:00:00;---;255
27.03.1999;07:00:00;---;255
27.03.1999;10:00:00;---;Ungeprüft
27.03.1999;16:00:00;---;Ungeprüft
27.03.1999;22:00:00;---;Ungeprüft
28.03.1999;07:00:00;---;Ungeprüft
28.03.1999;10:00:00;---;Ungeprüft
28.03.1999;16:00:00;---;Ungeprüft
28.03.1999;22:00:00;---;Ungeprüft
29.03.1999;07:00:00;---;Ungeprüft
29.03.1999;10:00:00;---;Ungeprüft
29.03.1999;16:00:00;---;Ungeprüft
29.03.1999;22:00:00;---;Ungeprüft
30.03.1999;07:00:00;---;Ungeprüft
30.03.1999;10:00:00;---;Ungeprüft
30.03.1999;16:00:00;---;Ungeprüft
30.03.1999;22:00:00;---;Ungeprüft
31.03.1999;07:00:00;---;Ungeprüft
31.03.1999;10:00:00;---;Ungeprüft
31.03.1999;16:00:00;---;Ungeprüft
31.03.1999;22:00:00;---;Ungeprüft
01.04.1999;07:00:00;---;Ungeprüft
01.04.1999;10:00:00;---;Ungeprüft
01.04.1999;16:00:00;---;Ungeprüft
01.04.1999;22:00:00;---;Ungeprüft
02.04.1999;07:00:00;---;Ungeprüft
02.04.1999;10:00:00;---;Ungeprüft
02.04.1999;16:00:00;---;Ungeprüft
02.04.1999;22:00:00;---;Ungeprüft
03.04.1999;07:00:00;---;Ungeprüft
03.04.1999;10:00:00;---;Ungeprüft
03.04.1999;16:00:00;---;Ungeprüft
03.04.1999;22:00:00;---;Ungeprüft
04.04.1999;07:00:00;---;Ungeprüft
04.04.1999;10:00:00;---;Ungeprüft
04.04.1999;16:00:00;---;Ungeprüft
04.04.1999;22:00:00;---;Ungeprüft
05.04.1999;07:00:00;---;Ungeprüft
05.04.1999;10:00:00;---;Ungeprüft
05.04.1999;16:00:00;---;Ungeprüft
05.04.1999;22:00:00;---;Ungeprüft
06.04.1999;07:00:00;---;Ungeprüft
06.04.1999;10:00:00;---;Ungeprüft
06.04.1999;16:00:00;---;Ungeprüft
06.04.1999;22:00:00;---;Ungeprüft
07.04.1999;07:00:00;---;Ungeprüft
07.04.1999;10:00:00;---;Ungeprüft
07.04.1999;16:00:00;---;Ungeprüft
07.04.1999;22:00:00;---;Ungeprüft
08.04.1999;07:00:00;---;Ungeprüft
08.04.1999;10:00:00;---;Ungeprüft
08.04.1999;16:00:00;---;Ungeprüft
08.04.1999;22:00:00;---;Ungeprüft
09.04.1999;07:00:00;---;Ungeprüft
09.04.1999;10:00:00;---;Ungeprüft
09.04.1999;16:00:00;---;Ungeprüft
09.04.1999;22:00:00;---;Ungeprüft
10.04.1999;07:00:00;---;Ungeprüft
10.04.1999;10:00:00;---;Ungeprüft
10.04.1999;16:00:00;---;Ungeprüft
10.04.1999;22:00:00;---;Ungeprüft
11.04.1999;07:00:00;---;Ungeprüft
11.04.1999;10:00:00;---;Ungeprüft
11.04.1999;16:00:00;---;Ungeprüft
11.04.1999;22:00:00;---;Ungeprüft
12.04.1999;07:00:00;---;Ungeprüft
12.04.1999;10:00:00;---;Ungeprüft
12.04.1999;16:00:00;---;Ungeprüft
12.04.1999;22:00:00;---;Ungeprüft
13.04.1999;07:00:00;---;Ungeprüft
13.04.1999;10:00:00;---;Ungeprüft
13.04.1999;16:00:00;---;Ungeprüft
13.04.1999;22:00:00;---;Ungeprüft
14.04.1999;07:00:00;---;Ungeprüft
14.04.1999;10:00:00;---;Ungeprüft
14.04.1999;16:00:00;---;Ungeprüft
14.04.1999;22:00:00;---;Ungeprüft
15.04.1999;07:00:00;---;Ungeprüft
15.04.1999;10:00:00;---;Ungeprüft
15.04.1999;16:00:00;---;Ungeprüft
15.04.1999;22:00:00;---;Ungeprüft
16.04.1999;07:00:00;---;Ungeprüft
16.04.1999;10:00:00;---;Ungeprüft
16.04.1999;16:00:00;---;Ungeprüft
16.04.1999;22:00:00;---;Ungeprüft
17.04.1999;07:00:00;---;Ungeprüft
17.04.1999;10:00:00;---;Ungeprüft
17.04.1999;16:00:00;---;Ungeprüft
17.04.1999;22:00:00;---;Ungeprüft
18.04.1999;07:00:00;---;Ungeprüft
18.04.1999;10:00:00;---;Ungeprüft
18.04.1999;16:00:00;---;Ungeprüft
18.04.1999;22:00:00;---;Ungeprüft
19.04.1999;07:00:00;---;Ungeprüft
19.04.1999;10:00:00;---;Ungeprüft
19.04.1999;16:00:00;---;Ungeprüft
19.04.1999;22:00:00;---;Ungeprüft
20.04.1999;07:00:00;---;Ungeprüft
20.04.1999;10:00:00;---;Ungeprüft
20.04.1999;16:00:00;---;Ungeprüft
20.04.1999;22:00:00;---;Ungeprüft
21.04.1999;07:00:00;---;Ungeprüft
21.04.1999;10:00:00;---;Ungeprüft
21.04.1999;16:00:00;---;Ungeprüft
21.04.1999;22:00:00;---;Ungeprüft
22.04.1999;07:00:00;---;Ungeprüft
22.04.1999;10:00:00;---;Ungeprüft
22.04.1999;16:00:00;---;Ungeprüft
22.04.1999;22:00:00;---;Ungeprüft
23.04.1999;07:00:00;---;Ungeprüft
23.04.1999;10:00:00;---;Ungeprüft
23.04.1999;16:00:00;---;Ungeprüft
23.04.1999;22:00:00;---;Ungeprüft
24.04.1999;07:00:00;---;Ungeprüft
24.04.1999;10:00:00;---;Ungeprüft
24.04.1999;16:00:00;---;Ungeprüft
24.04.1999;22:00:00;---;Ungeprüft
25.04.1999;07:00:00;---;Ungeprüft
25.04.1999;10:00:00;---;Ungeprüft
25.04.1999;16:00:00;---;Ungeprüft
25.04.1999;22:00:00;---;Ungeprüft
26.04.1999;07:00:00;---;Ungeprüft
26.04.1999;10:00:00;---;Ungeprüft
26.04.1999;16:00:00;---;Ungeprüft
26.04.1999;22:00:00;---;Ungeprüft
27.04.1999;07:00:00;---;Ungeprüft
27.04.1999;10:00:00;---;Ungeprüft
27.04.1999;16:00:00;---;Ungeprüft
27.04.1999;22:00:00;---;Ungeprüft
28.04.1999;07:00:00;---;Ungeprüft
28.04.1999;10:00:00;---;Ungeprüft
28.04.1999;16:00:00;---;Ungeprüft
28.04.1999;22:00:00;---;Ungeprüft
29.04.1999;07:00:00;---;Ungeprüft
29.04.1999;10:00:00;---;Ungeprüft
29.04.1999;16:00:00;---;Ungeprüft
29.04.1999;22:00:00;---;Ungeprüft
30.04.1999;07:00:00;---;Ungeprüft
30.04.1999;10:00:00;---;Ungeprüft
30.04.1999;16:00:00;---;Ungeprüft
30.04.1999;22:00:00;---;Ungeprüft
01.05.1999;07:00:00;---;Ungeprüft
01.05.1999;10:00:00;---;Ungeprüft
01.05.1999;16:00:00;---;Ungeprüft
01.05.1999;22:00:00;---;Ungeprüft
02.05.1999;07:00:00;---;Ungeprüft
02.05.1999;10:00:00;---;Ungeprüft
02.05.1999;16:00:00;---;Ungeprüft
02.05.1999;22:00:00;---;Ungeprüft
03.05.1999;07:00:00;---;Ungeprüft
03.05.1999;10:00:00;---;Ungeprüft
03.05.1999;16:00:00;---;Ungeprüft
03.05.1999;22:00:00;---;Ungeprüft
04.05.1999;07:00:00;---;Ungeprüft
04.05.1999;10:00:00;---;Ungeprüft
04.05.1999;16:00:00;---;Ungeprüft
04.05.1999;22:00:00;---;Ungeprüft
05.05.1999;07:00:00;---;Ungeprüft
05.05.1999;10:00:00;---;Ungeprüft
05.05.1999;16:00:00;---;Ungeprüft
05.05.1999;22:00:00;---;Ungeprüft
06.05.1999;07:00:00;---;Ungeprüft
06.05.1999;10:00:00;---;Ungeprüft
06.05.1999;16:00:00;---;Ungeprüft
06.05.1999;22:00:00;---;Ungeprüft
07.05.1999;07:00:00;---;Ungeprüft
07.05.1999;10:00:00;---;Ungeprüft
07.05.1999;16:00:00;---;Ungeprüft
07.05.1999;22:00:00;---;Ungeprüft
08.05.1999;07:00:00;---;Ungeprüft
08.05.1999;10:00:00;---;Ungeprüft
08.05.1999;16:00:00;---;Ungeprüft
08.05.1999;22:00:00;---;Ungeprüft
09.05.1999;07:00:00;---;Ungeprüft
09.05.1999;10:00:00;---;Ungeprüft
09.05.1999;16:00:00;---;Ungeprüft
09.05.1999;22:00:00;---;Ungeprüft
10.05.1999;07:00:00;---;Ungeprüft
10.05.1999;10:00:00;---;Ungeprüft
10.05.1999;16:00:00;---;Ungeprüft
10.05.1999;22:00:00;---;Ungeprüft
11.05.1999;07:00:00;---;Ungeprüft
11.05.1999;10:00:00;---;Ungeprüft
11.05.1999;16:00:00;---;Ungeprüft
11.05.1999;22:00:00;---;Ungeprüft
12.05.1999;07:00:00;---;Ungeprüft
12.05.1999;10:00:00;---;Ungeprüft
12.05.1999;16:00:00;---;Ungeprüft
12.05.1999;22:00:00;---;Ungeprüft
13.05.1999;07:00:00;---;Ungeprüft
13.05.1999;10:00:00;---;Ungeprüft
13.05.1999;16:00:00;---;Ungeprüft
13.05.1999;22:00:00;---;Ungeprüft
14.05.1999;07:00:00;---;Ungeprüft
14.05.1999;10:00:00;---;Ungeprüft
14.05.1999;16:00:00;---;Ungeprüft
14.05.1999;22:00:00;---;Ungeprüft
15.05.1999;07:00:00;---;Ungeprüft
15.05.1999;10:00:00;---;Ungeprüft
15.05.1999;16:00:00;---;Ungeprüft
15.05.1999;22:00:00;---;Ungeprüft
16.05.1999;07:00:00;---;Ungeprüft
16.05.1999;10:00:00;---;Ungeprüft
16.05.1999;16:00:00;---;Ungeprüft
16.05.1999;22:00:00;---;Ungeprüft
17.05.1999;07:00:00;---;Ungeprüft
17.05.1999;10:00:00;---;Ungeprüft
17.05.1999;16:00:00;---;Ungeprüft
17.05.1999;22:00:00;---;Ungeprüft
18.05.1999;07:00:00;---;Ungeprüft
18.05.1999;10:00:00;---;Ungeprüft
18.05.1999;16:00:00;---;Ungeprüft
18.05.1999;22:00:00;---;Ungeprüft
19.05.1999;07:00:00;---;Ungeprüft
19.05.1999;10:00:00;---;Ungeprüft
19.05.1999;16:00:00;---;Ungeprüft
19.05.1999;22:00:00;---;Ungeprüft
20.05.1999;07:00:00;---;Ungeprüft
20.05.1999;10:00:00;---;Ungeprüft
20.05.1999;16:00:00;---;Ungeprüft
20.05.1999;22:00:00;---;Ungeprüft
21.05.1999;07:00:00;---;255
21.05.1999;10:00:00;---;255
22.11.1999;07:00:00;---;255
22.11.1999;10:00:00;---;Ungeprüft
22.11.1999;16:00:00;---;Ungeprüft
22.11.1999;22:00:00;---;Ungeprüft
23.11.1999;07:00:00;---;Ungeprüft
23.11.1999;10:00:00;---;Ungeprüft
23.11.1999;16:00:00;---;Ungeprüft
23.11.1999;22:00:00;---;Ungeprüft
24.11.1999;07:00:00;---;Ungeprüft
24.11.1999;10:00:00;---;Ungeprüft
24.11.1999;16:00:00;---;Ungeprüft
24.11.1999;22:00:00;---;Ungeprüft
25.11.1999;07:00:00;---;Ungeprüft
25.11.1999;10:00:00;---;Ungeprüft
25.11.1999;16:00:00;---;Ungeprüft
25.11.1999;22:00:00;---;Ungeprüft
26.11.1999;07:00:00;---;Ungeprüft
26.11.1999;10:00:00;---;Ungeprüft
26.11.1999;16:00:00;---;Ungeprüft
26.11.1999;22:00:00;---;Ungeprüft
27.11.1999;07:00:00;---;Ungeprüft
27.11.1999;10:00:00;---;Ungeprüft
27.11.1999;16:00:00;---;Ungeprüft
27.11.1999;22:00:00;---;Ungeprüft
28.11.1999;07:00:00;---;Ungeprüft
28.11.1999;10:00:00;---;Ungeprüft
28.11.1999;16:00:00;---;Ungeprüft
