Stationsmessort:	Beobachter
Stationsname:	Beobachtung Mooserboden
Stationsnummer:	AT-5-LWD-103015-4
Lokale Koordinaten X:	403193,099709
Lokale Koordinaten Y:	225603,090275
MPH:	2070
Parametername:	WG mit Verfrachtung
Parametertyp:	WSpeed
Name des Parametertyps:	Windgeschwindigkeit
Name der Zeitreihe:	5644436/AT-5-LWD-103015-4/WGmitV/Cmd
Einheit der Zeitreihe:	Bft
Regionale Koordinaten X:	-46806,900291
Regionale Koordinaten Y:	225603,090275
Geografische Länge:	12,715257
Geografische Breite:	47,167737
Datum;Uhrzeit;Wert[Bft];Status des Werts
21.01.1994;16:00:00;---;Ungeprüft
21.01.1994;22:00:00;---;Ungeprüft
22.01.1994;07:00:00;---;Ungeprüft
22.01.1994;10:00:00;---;Ungeprüft
22.01.1994;16:00:00;---;Ungeprüft
22.01.1994;22:00:00;---;Ungeprüft
23.01.1994;07:00:00;---;Ungeprüft
23.01.1994;10:00:00;---;Ungeprüft
23.01.1994;16:00:00;---;Ungeprüft
23.01.1994;22:00:00;---;Ungeprüft
24.01.1994;07:00:00;---;Ungeprüft
24.01.1994;10:00:00;---;Ungeprüft
24.01.1994;16:00:00;---;Ungeprüft
24.01.1994;22:00:00;---;Ungeprüft
25.01.1994;07:00:00;---;Ungeprüft
25.01.1994;10:00:00;---;Ungeprüft
25.01.1994;16:00:00;---;Ungeprüft
25.01.1994;22:00:00;---;Ungeprüft
26.01.1994;07:00:00;1;Ungeprüft
26.01.1994;10:00:00;4;Ungeprüft
26.01.1994;16:00:00;5;Ungeprüft
26.01.1994;22:00:00;1;Ungeprüft
27.01.1994;07:00:00;2;Ungeprüft
27.01.1994;10:00:00;2;Ungeprüft
27.01.1994;16:00:00;3;Ungeprüft
27.01.1994;22:00:00;2;Ungeprüft
28.01.1994;07:00:00;4;Ungeprüft
28.01.1994;10:00:00;5;Ungeprüft
28.01.1994;16:00:00;5;Ungeprüft
28.01.1994;22:00:00;4;Ungeprüft
29.01.1994;07:00:00;3;Ungeprüft
29.01.1994;10:00:00;4;Ungeprüft
29.01.1994;16:00:00;2;Ungeprüft
29.01.1994;22:00:00;4;Ungeprüft
30.01.1994;07:00:00;2;Ungeprüft
30.01.1994;10:00:00;3;Ungeprüft
30.01.1994;16:00:00;4;Ungeprüft
30.01.1994;22:00:00;3;Ungeprüft
31.01.1994;07:00:00;---;Ungeprüft
31.01.1994;10:00:00;---;Ungeprüft
31.01.1994;16:00:00;---;Ungeprüft
31.01.1994;22:00:00;---;Ungeprüft
01.02.1994;07:00:00;---;Ungeprüft
01.02.1994;10:00:00;---;Ungeprüft
01.02.1994;16:00:00;---;Ungeprüft
01.02.1994;22:00:00;---;Ungeprüft
02.02.1994;07:00:00;---;Ungeprüft
02.02.1994;10:00:00;---;Ungeprüft
02.02.1994;16:00:00;---;Ungeprüft
02.02.1994;22:00:00;---;Ungeprüft
03.02.1994;07:00:00;---;Ungeprüft
03.02.1994;10:00:00;---;Ungeprüft
03.02.1994;16:00:00;---;Ungeprüft
03.02.1994;22:00:00;---;Ungeprüft
04.02.1994;07:00:00;---;Ungeprüft
04.02.1994;10:00:00;---;Ungeprüft
04.02.1994;16:00:00;---;Ungeprüft
04.02.1994;22:00:00;---;Ungeprüft
05.02.1994;07:00:00;---;Ungeprüft
05.02.1994;10:00:00;---;Ungeprüft
05.02.1994;16:00:00;---;Ungeprüft
05.02.1994;22:00:00;---;Ungeprüft
06.02.1994;07:00:00;---;Ungeprüft
06.02.1994;10:00:00;---;Ungeprüft
06.02.1994;16:00:00;---;Ungeprüft
06.02.1994;22:00:00;---;Ungeprüft
07.02.1994;07:00:00;---;Ungeprüft
07.02.1994;10:00:00;---;Ungeprüft
07.02.1994;16:00:00;---;Ungeprüft
07.02.1994;22:00:00;---;Ungeprüft
08.02.1994;07:00:00;---;Ungeprüft
08.02.1994;10:00:00;---;Ungeprüft
08.02.1994;16:00:00;---;Ungeprüft
08.02.1994;22:00:00;---;Ungeprüft
09.02.1994;07:00:00;---;Ungeprüft
09.02.1994;10:00:00;---;Ungeprüft
09.02.1994;16:00:00;---;Ungeprüft
09.02.1994;22:00:00;---;Ungeprüft
10.02.1994;07:00:00;---;Ungeprüft
10.02.1994;10:00:00;---;Ungeprüft
10.02.1994;16:00:00;---;Ungeprüft
10.02.1994;22:00:00;---;Ungeprüft
11.02.1994;07:00:00;---;Ungeprüft
11.02.1994;10:00:00;---;Ungeprüft
11.02.1994;16:00:00;---;Ungeprüft
11.02.1994;22:00:00;---;Ungeprüft
12.02.1994;07:00:00;---;Ungeprüft
12.02.1994;10:00:00;---;Ungeprüft
12.02.1994;16:00:00;---;Ungeprüft
12.02.1994;22:00:00;---;Ungeprüft
13.02.1994;07:00:00;1;Ungeprüft
13.02.1994;10:00:00;1;Ungeprüft
13.02.1994;16:00:00;1;Ungeprüft
13.02.1994;22:00:00;5;Ungeprüft
14.02.1994;07:00:00;---;Ungeprüft
14.02.1994;10:00:00;---;Ungeprüft
14.02.1994;16:00:00;---;Ungeprüft
14.02.1994;22:00:00;---;Ungeprüft
15.02.1994;07:00:00;---;Ungeprüft
15.02.1994;10:00:00;---;Ungeprüft
15.02.1994;16:00:00;---;Ungeprüft
15.02.1994;22:00:00;---;Ungeprüft
16.02.1994;07:00:00;---;Ungeprüft
16.02.1994;10:00:00;---;Ungeprüft
16.02.1994;16:00:00;---;Ungeprüft
16.02.1994;22:00:00;---;Ungeprüft
17.02.1994;07:00:00;---;Ungeprüft
17.02.1994;10:00:00;---;Ungeprüft
17.02.1994;16:00:00;---;Ungeprüft
17.02.1994;22:00:00;---;Ungeprüft
18.02.1994;07:00:00;---;Ungeprüft
18.02.1994;10:00:00;---;Ungeprüft
